"transaction_date","contractor","transaction_id","title","amount","account_name"
"2023-01-01","Bank of Rome","ab69324e-364a-4fac-a734-1e10f0def57a","Measure be physical common.","-1033.09","My account"
"2023-01-01","PlayStation Store","ad575df3-6830-4169-acc1-9e961ffc9e9b","Stop hit police keep woman.","-223.05","My account"
"2023-01-02","Trader Joe's","dc333d81-7a09-4f5a-9a82-0b8fb9e6ee41","Effect finish article PM be value on.","-190.67","Our account"
"2023-01-02","Trader Joe's","748c75ba-2a51-4368-81b8-33baaac21140","Study woman explain score.","-703.95","Our account"
"2023-01-02","Aldi","8dec1de1-bca3-4cb8-b4c2-2f07d4976add","Trade responsibility Congress ability we.","-364.13","Our account"
"2023-01-02","Chipotle","79d1392d-9719-4477-b9d8-96f89078a9fd","House career education which oil wide next.","-57.59","My account"
"2023-01-03","LinkedIn Learning","49d28f21-caf8-4d53-8010-9b4750fb0043","Front choose large garden person ball.","-339.21","Our account"
"2023-01-03","Walmart","d7742717-c4ca-4964-88e6-adaacf935a6b","Sense student explain chair.","-341.02","Our account"
"2023-01-03","Target","42bcc288-34fb-4d33-829f-01a4b6f4a934","Newspaper design million both light data.","-436.80","Our account"
"2023-01-04","Safeway","b58e6219-1d53-401a-b3fc-00de6f4be064","Meet majority ball scientist hundred.","-364.50","Our account"
"2023-01-04","Bank of Rome","772872d7-1fb3-49b5-bbce-cf9f70188bdf","Structure movie alone threat.","-1018.88","Our account"
"2023-01-04","Publix","0dd61db0-b711-455c-932f-b8e1d7640659","Third public share miss pressure.","-98.13","My account"
"2023-01-05","Safeway","18b9da36-758e-478e-96b6-963259cd454b","Food property since suggest.","-178.95","Our account"
"2023-01-05","Bank of Rome","aed8322c-3537-4bb8-86cc-cf73452fc3da","Factor before whom on by. Entire choice series.","-1017.68","Our account"
"2023-01-05","Trader Joe's","0d112019-5a32-483b-9220-503007b2d308","Central office increase structure able.","-37.76","My account"
"2023-01-06","Kroger","78e7d2b4-d389-4a01-ad17-61515f6f91dc","Method student nothing food.","-174.62","Our account"
